#GENE1;GENE2;ww;ws;wb;sw;ss;sb;bw;bs;bb;chi2;x*;epistatic-pvalue;sa-pvalue
DDX4;KCNJ16;282;3;23;0;6;1;100;1;6;49.043;7.479;0;0.0182351056089963
CCDC73;HTR2B;359;1;18;7;8;2;27;0;0;53.097;1.203;0;0.0322474820382154
SEMG1;CYP2E1;217;0;19;3;6;1;147;1;28;46.035;20.012;0;0.0333516971340551
DDX4;SNX13;287;16;5;0;7;0;102;1;4;47.091;2.397;0;0.0448330073447431
GTF3C3;CPD;319;3;12;2;8;2;66;3;7;54.801;3.433;0;0.052782354240376
ZNF491;FILIP1;319;20;48;0;8;1;22;0;4;46.31;3.44;0;0.0809670636638992
FAM200A;TRIP12;369;19;11;2;10;0;11;0;0;47.795;0.309;0;0.125550266295443
DDX4;CCDC73;278;8;22;0;7;0;100;2;5;48.425;7;0;0.159894247728612
VPS13D;MTNR1B;169;0;34;15;8;0;162;3;31;46.466;31.679;0;0.205271665338166
RASA1;CDKL5;345;3;35;9;9;0;17;0;4;50.892;2.042;0;0.205512318853755
NOTCH2;TENM2;284;24;47;2;13;3;34;4;11;49.481;6.941;0;0.232640334053402
EPHB6;REPS1;261;2;100;6;8;2;28;1;14;45.516;11.881;0;0.240839357106751
DCST2;KLHL6;351;6;11;6;10;0;37;1;0;51.124;1.02;0;0.266932751918971
ZNF418;ARMC2;342;1;42;6;7;1;19;0;4;46.041;2.6;0;0.307841101183972
PCDHA2;PCDHA4;82;7;6;6;3;1;3;0;314;45.577;250.469;0;0.313826685627951
LEMD3;TRHDE;374;24;1;3;7;4;8;1;0;49.494;0.021;0;0.336210270180968
CHD8;TAF1;334;11;17;17;12;6;25;0;0;46.041;1.13;0;0.342166657765641
FRYL;TCTN1;311;1;30;27;10;0;37;0;6;50.228;4.031;0;0.347856032993871
KEL;RC3H1;318;8;27;2;8;2;51;1;5;45.559;4.469;0;0.350834101456591
CSPP1;ZNF521;312;16;10;3;9;0;67;0;5;47.686;2.741;0;0.358656465303877
ZNF491;PRKD1;343;20;24;0;8;1;25;0;1;47.755;1.654;0;0.360365930959952
LRFN2;MYH7;269;17;18;8;15;1;87;4;3;50.547;5.013;0;0.381195314052384
CCDC73;RFC1;352;6;20;6;10;1;24;1;2;50.01;1.437;0;0.385648759543935
CCDC73;FLT1;351;9;18;7;10;0;23;3;1;46.561;1.16;0;0.391014875564644
LYST;PRICKLE1;292;4;5;14;11;2;85;3;6;46;2.58;0;0.394622327800238
INTU;KLHL1;362;11;12;0;7;0;29;0;1;48.887;0.965;0;0.423879471717588
ZNF491;SULF1;366;12;9;0;9;0;21;1;4;57.341;0.812;0;0.436669394397199
RFC1;SERPINA12;358;2;22;9;8;0;16;0;7;47.432;1.655;0;0.451674395147141
TECRL;RFC1;345;7;20;7;10;0;30;0;3;50.809;1.907;0;0.463203685479365
SYCP1;CSPP1;283;3;63;3;8;1;52;1;8;49.244;10.493;0;0.480309274454494
ARHGEF3;ZNF10;176;0;17;1;5;3;191;1;28;46.664;23.92;0;0.504240178035501
CHRM2;CEP290;283;8;98;9;12;7;2;0;3;46.983;1.308;0;0.506136272568154
DDX4;ZNF491;289;3;16;1;6;0;97;0;10;47.696;6.752;0;0.513542787122914
TULP4;TRIP12;317;10;5;13;13;2;52;6;4;46.94;1.333;0;0.513741058723857
MMAA;SDAD1;117;0;251;0;5;3;9;0;37;45.879;32;0;0.517436253453326
PAPSS2;PRICKLE1;367;8;13;1;7;0;23;3;0;46.29;0.742;0;0.524780152008661
MSH6;TXLNG;319;0;19;7;7;0;63;1;6;50.285;4.238;0;0.534219184163011
SULF1;ZNF546;329;4;54;8;11;3;7;1;5;55.088;1.792;0;0.59004400764573
ST18;ALOX5;356;6;18;7;9;3;21;0;2;47.724;1.159;0;0.641594498272505
ITPR1;CDH8;339;11;6;23;15;0;21;5;2;47.118;0.5;0;0.674222381757928
CEP290;USP7;291;2;1;9;11;0;99;9;0;59.422;0.253;0;0.683805187748932
N4BP2L2;ZNF491;220;2;15;5;7;0;162;0;11;48.338;11.025;0;0.689234194247891
SYCP1;ARMC2;306;0;43;6;6;0;55;2;4;46.514;6.797;0;0.697189616879253
