#GENE1;GENE2;ww;ws;wb;sw;ss;sb;bw;bs;bb;chi2;x*;epistatic-pvalue;sa-pvalue
SEC63;RBM44;333;2;32;7;8;1;37;1;1;45.796;3.112;0;0.70483181013017
PTPRM;NCOA6;323;10;38;17;14;1;15;0;4;49;2.1;0;0.720248957569277
CFAP47;ARMC2;218;0;21;18;8;0;131;0;26;51.641;18.634;0;0.726053558587402
ZNF431;RFC1;276;7;11;5;9;0;101;1;12;47.223;6.497;0;0.756231028497866
NALCN;UBR5;333;11;4;28;16;2;28;0;0;46.999;0.307;0;0.759927409735814
ADAM9;HDAC9;367;16;6;1;9;0;23;0;0;49.88;0.348;0;0.766429786060134
GEM;KDR;154;2;146;0;6;1;48;1;64;47.169;57.087;0;0.767742489928839
DEPDC4;ZNF10;307;0;36;1;5;0;60;1;12;47.225;8.328;0;0.773014227749577
KMT2E;ARHGEF6;329;3;12;6;8;0;58;4;2;46.52;2.095;0;0.773621407481364
RBBP8;STRBP;372;2;13;5;7;0;23;0;0;46.037;0.733;0;0.795771416543717
TRRAP;KAT6A;273;3;77;31;15;8;11;1;3;49.257;3.077;0;0.810419957523991
CDK12;RBAK;351;5;18;11;10;0;22;0;5;48.721;1.568;0;0.840374535302551
ZNF431;ZNF546;247;7;40;3;9;2;94;0;20;53.505;17.057;0;0.853826000554522
LMNB1;IARS2;343;8;41;1;7;0;22;0;0;45.649;2.222;0;0.854810603291547
ABCA8;KAT6A;209;4;61;14;12;1;92;3;26;50.664;26.459;0;0.868026008401651
ZNF491;TSC22D1;305;6;76;2;7;0;21;0;5;45.521;5.174;0;0.873186239866922
CHD3;UBR1;272;4;65;10;10;1;42;2;16;47.016;11.894;0;0.897566271527935
GTF2E1;GTF2I;358;1;12;5;6;0;34;4;2;47.301;1.241;0;0.901133497601292
CSPP1;BRPF3;275;5;58;0;5;7;63;2;7;47.394;11.29;0;0.924295485314463
SYCP2;C1orf168;269;2;39;11;9;3;75;0;14;47.657;11.882;0;0.951292908107731
LYST;KCNMA1;293;6;2;14;13;0;88;4;2;49.508;0.935;0;0.962404944511961
CCDC73;USP7;368;9;1;6;11;0;25;2;0;51.442;0.063;0;0.988968391015204
ADCY4;SKIDA1;362;6;14;4;10;0;24;1;1;55.832;0.935;0;1
CHD2;UBR3;320;16;23;8;13;0;36;3;3;47.354;2.654;0;1
CSPP1;SRGAP1;292;12;34;3;9;0;68;0;4;50.377;6.874;0;1
DYM;APPBP2;354;1;43;4;7;0;10;0;3;51.853;1.459;0;1
ITPR2;TENM2;255;22;46;3;14;4;62;5;11;50.811;11.126;0;1
MYCBP2;SETDB1;300;4;14;29;13;7;49;1;5;46.994;2.788;0;1
MYH10;DZIP3;364;3;13;8;9;2;21;1;1;50.311;0.772;0;1
NCOA6;NLRC4;335;3;17;13;10;1;39;2;2;46.311;1.982;0;1
NDST3;MYT1;356;14;27;6;11;0;7;1;0;46.878;0.485;0;1
PCDHA2;PCDHA8;73;2;20;4;5;1;7;0;310;46.371;255.146;0;1
PITPNM1;NEK10;174;1;208;6;8;5;9;0;11;47.659;10.896;0;1
RABGAP1L;MYCBP2;284;32;51;3;14;0;31;3;4;49.954;5.203;0;1
RFX6;RFC1;360;8;18;1;8;1;21;1;4;49.284;1.365;0;1
RFX6;TM6SF1;269;0;117;3;5;2;20;3;3;47.092;6.748;0;1
SAMD9;RBM44;229;2;14;15;9;0;133;0;20;49.617;13.136;0;1
SMC1A;MYCBP2;311;32;54;6;16;1;1;1;0;49.537;0.148;0;1
TRIP12;ZNF521;359;9;14;14;14;1;9;2;0;54.238;0.33;0;1
TRRAP;CACNA1F;278;15;60;31;20;3;10;1;4;45.62;2.545;0;1
UGT1A9;INTS7;383;5;12;2;7;0;12;1;0;45.853;0.354;0;1
VPS13D;MYCBP2;161;23;19;6;15;2;151;11;34;45.757;26.863;0;1
DOCK2;GTF2I;341;0;13;30;8;0;26;3;1;45.489;0.992;1.03649831648425E-10;0.633762064490695
ZNF709;ZNF431;283;6;109;6;8;0;5;0;5;45.497;2.836;1.03649831648425E-10;0.784978654779315
DDX4;PCF11;249;5;54;1;6;0;84;11;12;45.425;15.88;1.03649831648425E-10;1
GRIK4;MSH6;297;3;67;23;9;0;18;2;3;45.405;3.818;1.03649831648425E-10;1
HTR2B;ZNF677;354;5;34;2;7;0;13;1;6;45.434;1.867;1.03649831648425E-10;1
NDC80;BAZ1B;191;0;2;2;6;0;202;9;10;45.446;6.281;1.03649831648425E-10;1
TRIP12;BTAF1;366;6;10;17;11;1;9;2;0;44.721;0.234;2.07299663296849E-10;0.00416118789368151
UGT1A9;ZNF483;385;10;5;1;7;1;13;0;0;45.297;0.161;2.07299663296849E-10;0.07972736114123
NOTCH2;CACNA1A;255;13;87;2;10;6;22;5;22;44.816;12.425;2.07299663296849E-10;0.148097736657904
SNX13;BTAF1;370;8;11;13;11;0;9;0;0;44.6;0.254;2.07299663296849E-10;0.153358661475888
ZNF678;ZNF491;355;2;24;6;7;0;26;0;2;44.92;1.789;2.07299663296849E-10;0.168466279545681
CLNK;CYLC2;311;1;49;2;6;2;43;1;7;45.18;6.829;2.07299663296849E-10;0.178264636705277
CCDC73;IL16;205;2;171;4;8;5;18;1;8;45.358;11.577;2.07299663296849E-10;0.192198967460225
RBAK;C2orf71;155;4;225;4;8;3;4;0;19;44.772;13.926;2.07299663296849E-10;0.225656045690483
ZNF230;ZNF567;266;0;11;0;4;0;134;6;1;44.985;3.932;2.07299663296849E-10;0.317879113677369
MEIOC;ARMC2;213;0;22;4;6;0;150;2;25;44.896;20.061;2.07299663296849E-10;0.358454748548363
FRYL;REPS1;246;1;95;19;10;8;30;0;13;45.127;12.094;2.07299663296849E-10;0.435651613177071
PCNX1;TENM3;307;30;30;7;15;0;28;3;2;44.915;2.616;2.07299663296849E-10;0.606191578021802
CHD6;LRRIQ4;217;0;80;15;8;6;76;0;20;45.234;24.427;2.07299663296849E-10;0.64159061028625
MBD5;DZIP3;366;4;16;11;9;0;16;0;0;44.927;0.643;2.07299663296849E-10;0.717315608850006
RGPD8;UBR5;340;21;3;2;6;3;47;0;0;45.198;0.362;2.07299663296849E-10;0.763125224975969
TRIP12;INTS7;368;3;11;19;10;0;10;0;1;44.816;0.338;2.07299663296849E-10;0.888968460914328
RBBP8;ALOX5;360;7;20;4;8;0;20;0;3;44.713;1.313;2.07299663296849E-10;0.919307197169256
CSPP1;FBXO43;317;3;18;5;7;0;58;0;14;44.803;5.661;2.07299663296849E-10;0.95540872650947
ARID2;C1orf168;325;1;47;16;9;4;14;1;5;44.895;2.527;2.07299663296849E-10;1
CCDC73;CFAP47;218;14;146;3;11;3;18;1;8;45.164;10.267;2.07299663296849E-10;1
MSH6;ENC1;324;12;2;5;9;0;70;0;0;45.074;0.354;2.07299663296849E-10;1
NOTCH1;LYST;216;16;65;13;11;1;72;0;28;44.605;24.409;2.07299663296849E-10;1
OTUD4;HEATR5B;275;8;75;7;11;7;23;2;14;44.875;8.509;2.07299663296849E-10;1
RAD54B;C1orf168;323;3;50;4;7;0;28;1;6;44.661;4.678;2.07299663296849E-10;1
TRRAP;IFT172;293;6;54;34;15;5;10;3;2;44.823;1.872;2.07299663296849E-10;1
ZNF99;HECTD2;191;0;7;1;4;3;206;5;5;44.511;6.191;3.10949494945274E-10;0.00646586599506786
LRRIQ4;MED13;279;10;19;0;7;1;93;7;6;43.892;6.234;3.10949494945274E-10;0.149700116886977
DDX4;SULF1;284;12;12;0;7;0;103;3;1;44.036;3.38;3.10949494945274E-10;0.177635001423372
ABCD2;FLT1;358;10;19;4;8;0;19;4;0;43.812;0.912;3.10949494945274E-10;0.185986182103483
SLC12A5;VIRMA;332;7;23;11;11;1;28;2;7;44.508;2.692;3.10949494945274E-10;0.206018049491887
MET;FER;302;7;46;7;9;5;40;0;6;44.278;6.071;3.10949494945274E-10;0.23258672606404
PTK2;CDKL5;352;3;37;16;9;0;3;0;2;44.48;0.495;3.10949494945274E-10;0.280993386925841
MAEL;KMT2E;222;0;40;1;4;0;121;10;24;44.077;22.801;3.10949494945274E-10;0.405566937954413
ACSM1;UBR3;324;20;23;2;10;0;38;2;3;44.594;2.747;3.10949494945274E-10;0.44300314876373
ZNF256;RTN4;348;2;46;5;7;2;11;0;1;43.962;1.389;3.10949494945274E-10;0.526779951444293
DDX4;ASIC5;291;7;10;0;6;1;103;2;2;44.092;3.103;3.10949494945274E-10;0.538070150086597
PDE2A;ST18;350;7;21;8;9;0;22;3;2;43.842;1.397;3.10949494945274E-10;0.546377347333817
SZT2;TANC2;271;11;14;9;12;3;94;6;2;44.258;4.031;3.10949494945274E-10;0.565780935476114
SOGA3;MELTF;310;7;65;15;10;0;14;0;1;44.44;2.538;3.10949494945274E-10;0.641723375446827
ZNF431;SAMD9;173;13;108;5;9;0;67;2;45;44.227;43.603;3.10949494945274E-10;0.644734232736114
MMAA;GUCY1A3;335;12;21;0;7;1;43;2;1;44.473;2.42;3.10949494945274E-10;0.684127336552568
PTPN21;MSH6;112;5;24;0;6;1;226;3;45;44.425;45.943;3.10949494945274E-10;0.685536318051759
CCDC73;ZFP30;363;1;14;10;7;0;24;2;1;44.2;0.933;3.10949494945274E-10;0.829260354411022
RBBP8;ZNF546;322;8;57;4;8;0;18;0;5;44.262;3.547;3.10949494945274E-10;0.85658613918786
HHIP;TANC2;351;17;16;5;11;2;18;1;1;44.438;0.837;3.10949494945274E-10;0.952309667424763
ABCB4;CRB1;262;15;8;3;9;0;117;2;6;43.966;4.382;3.10949494945274E-10;0.959293498559188
ARFGEF2;TRIM10;307;0;73;9;6;9;12;1;5;44.38;3.34;3.10949494945274E-10;0.988958765357899
SNX13;ZNF546;328;5;56;11;10;3;5;1;3;44.133;1.204;3.10949494945274E-10;0.991200615308816
ANXA6;MYH7;347;25;19;3;11;1;14;0;2;44.422;0.88;3.10949494945274E-10;1
BMPER;GRM5;351;22;8;5;11;0;21;0;4;43.809;0.781;3.10949494945274E-10;1
CUZD1;STK39;366;4;12;1;6;0;33;0;0;44.496;0.964;3.10949494945274E-10;1
GRM5;TENM2;301;27;49;9;14;10;10;0;2;44.208;1.691;3.10949494945274E-10;1
ILF3;TENM3;333;35;32;2;12;0;7;1;0;44.481;0.602;3.10949494945274E-10;1
ITPR2;ADAM9;309;0;14;14;7;0;66;3;9;44.082;4.334;3.10949494945274E-10;1
MARCH10;OXR1;159;5;2;1;7;1;239;6;2;44.159;2.398;3.10949494945274E-10;1
TECRL;SULF1;353;12;7;7;10;0;27;0;6;44.215;1.092;3.10949494945274E-10;1
TECRL;ZNF431;262;6;104;9;8;0;23;0;10;43.937;9.429;3.10949494945274E-10;1
TRPC4;ARMC2;312;0;39;21;8;2;34;0;6;44.076;4.604;3.10949494945274E-10;1
ZNF677;ITPR2;296;11;62;2;9;2;25;1;14;44.497;7.466;3.10949494945274E-10;1
TOPORS;FLT1;353;12;17;3;9;1;25;1;1;43.458;1.182;4.14599326593698E-10;0.0218338466368063
LGR5;MBD5;310;11;9;2;8;1;74;1;6;43.728;3.008;4.14599326593698E-10;0.0380740332137252
CCDC73;DLEC1;144;2;232;1;7;9;7;2;18;43.574;15.586;4.14599326593698E-10;0.187585457938814
ZNF491;CFAP45;301;6;80;1;7;1;19;1;6;43.781;5.296;4.14599326593698E-10;0.243954996334292
RBM44;XRN2;360;4;13;4;7;0;33;0;1;43.48;1.17;4.14599326593698E-10;0.313739115810823
CCDC73;ZFP90;355;1;22;10;7;0;26;0;1;43.552;1.537;4.14599326593698E-10;0.4585988639039
RBL2;ZNF256;212;4;5;5;8;0;179;2;7;43.7;5.538;4.14599326593698E-10;0.482703581853056
CATSPERB;ST18;324;7;19;5;9;1;51;3;3;43.558;2.992;4.14599326593698E-10;0.624932131591356
ZNF416;RAD54B;361;4;34;4;7;0;11;0;1;43.461;1.032;4.14599326593698E-10;0.79503409310012
ZNF491;RNF180;325;6;56;2;7;0;18;1;7;43.651;3.879;4.14599326593698E-10;0.813392667054196
PCF11;TULP4;270;12;52;7;12;3;55;4;7;43.443;9.526;4.14599326593698E-10;0.867000341177409
NEK1;KIF13B;221;6;24;0;6;1;121;17;26;43.727;18.75;4.14599326593698E-10;0.876216361324819
ZFP90;GUCY1B3;374;9;8;1;7;0;21;2;0;43.532;0.417;4.14599326593698E-10;0.951244677646661
C1orf168;KCNMA1;342;9;4;3;8;0;50;6;0;43.676;0.505;4.14599326593698E-10;1
CACNA1F;GREB1L;302;8;9;20;14;2;59;5;3;43.755;1.995;4.14599326593698E-10;1
LRRC49;UGT1A9;379;2;11;8;7;2;13;0;0;43.509;0.355;4.14599326593698E-10;1
TAF1;VIRMA;343;10;23;9;10;4;19;0;4;43.475;1.596;4.14599326593698E-10;1
SYCP1;ZNF528;310;6;33;3;8;1;52;2;7;43.301;5.871;5.18249158242123E-10;0.0959418462460815
TRHDE;FLT1;361;10;14;17;10;5;3;2;0;43.105;0.111;5.18249158242123E-10;0.172615415157257
LEMD3;PAPPA2;316;28;55;3;11;0;5;2;2;43.186;1.056;5.18249158242123E-10;0.286142738541352
CCDC73;ZNF546;312;7;59;6;9;2;26;0;1;43.399;4.07;5.18249158242123E-10;0.286782701741252
ITGAM;LPL;137;1;44;1;6;1;179;2;51;43.348;53.163;5.18249158242123E-10;0.339021497989894
RBL2;MSH6;175;3;43;4;8;1;159;3;26;43.066;31.675;5.18249158242123E-10;0.339881283265466
BRD1;ARHGEF2;323;6;6;15;10;0;58;0;4;43.054;1.586;5.18249158242123E-10;0.377295336107536
MDGA2;PREX2;283;17;44;8;12;0;40;4;14;42.733;8.22;5.18249158242123E-10;0.418784974305085
TRIP12;FLT1;356;9;17;15;12;2;10;1;0;42.932;0.444;5.18249158242123E-10;0.451156111516496
PAPPA2;UBR3;295;11;18;22;16;3;47;5;5;42.825;3.277;5.18249158242123E-10;0.456357671578597
APPL1;SLITRK1;317;12;4;1;8;0;74;5;1;42.815;0.947;5.18249158242123E-10;0.490964888999021
MBD5;ZIC4;361;8;17;10;10;0;14;1;1;42.816;0.687;5.18249158242123E-10;0.595088845044926
CSPP1;KAT6A;251;11;76;3;8;1;61;0;11;42.708;15.699;5.18249158242123E-10;0.596427607017924
ADAMTS20;IFT172;295;8;49;13;12;3;29;4;9;43.341;5.77;5.18249158242123E-10;0.601349594421619
CYP7B1;TTLL11;312;3;66;7;7;0;22;0;5;42.833;4.733;5.18249158242123E-10;0.601586530788301
PTK2;PCDHGC4;350;6;36;15;10;0;4;0;1;43.314;0.473;5.18249158242123E-10;0.645516302575777
CACNA1F;CACNA1D;290;15;14;21;15;0;64;1;2;43.059;2.854;5.18249158242123E-10;0.647378383196234
ZNF431;SULF1;275;12;7;5;9;0;107;1;6;43.155;3.719;5.18249158242123E-10;0.710244816442895
RC3H1;AGL;196;6;169;1;8;8;20;2;12;43.341;14.589;5.18249158242123E-10;0.737392659126717
MYCBP2;TENM2;251;21;46;21;19;9;48;1;6;42.938;8;5.18249158242123E-10;0.767082172516169
DCAF13;INTS7;130;0;5;0;5;0;267;8;7;43.306;8.039;5.18249158242123E-10;0.78610649683244
UPF1;PPARA;344;0;47;14;7;2;7;0;1;43.007;0.962;5.18249158242123E-10;0.823970254234144
NDST3;RFC1;368;7;22;7;9;1;7;1;0;43.103;0.388;5.18249158242123E-10;0.840876466948118
RAD50;NLRC4;359;7;20;5;8;0;23;0;0;42.742;1.144;5.18249158242123E-10;0.932471094664376
BUB1;SPTAN1;348;19;29;8;12;0;6;0;0;43.395;0.454;5.18249158242123E-10;1
CFAP100;PLXNA1;333;20;9;7;10;2;30;10;1;43.049;0.831;5.18249158242123E-10;1
CHD8;ANXA6;344;3;15;23;11;1;24;1;0;42.868;0.94;5.18249158242123E-10;1
DENND4A;PTPRD;276;9;89;4;9;5;24;0;6;42.944;7.215;5.18249158242123E-10;1
DOCK2;RFC1;330;5;19;25;12;1;27;0;3;42.775;1.741;5.18249158242123E-10;1
G2E3;IL16;223;4;172;0;6;3;4;1;9;43.353;5.767;5.18249158242123E-10;1
G2E3;MAP3K21;243;7;149;1;7;1;8;0;6;42.997;5.345;5.18249158242123E-10;1
G2E3;RALGAPA2;311;12;76;0;7;2;9;1;4;42.934;2.6;5.18249158242123E-10;1
GATB;MYO5C;162;8;125;0;6;3;74;0;44;43.151;49.24;5.18249158242123E-10;1
GUCY1A2;KAT6A;308;9;82;5;8;6;2;2;0;43.257;0.418;5.18249158242123E-10;1
NUP155;RFC1;362;8;22;7;9;0;13;0;1;43.298;0.809;5.18249158242123E-10;1
ZNF431;GREB1L;273;13;8;4;10;0;104;4;6;43.07;3.939;5.18249158242123E-10;1
ZNF431;SERPINA12;275;3;16;7;7;0;101;0;13;42.753;8.163;5.18249158242123E-10;1
RASAL2;TRIM37;366;9;22;6;9;1;8;0;1;41.558;0.521;6.21898989890547E-10;0.0135533581185754
PHLPP1;CLASP1;351;11;18;8;10;1;20;0;3;41.504;1.232;6.21898989890547E-10;0.0210635179927803
ZNF491;BTAF1;367;11;9;1;7;1;24;1;1;41.496;0.623;6.21898989890547E-10;0.0273608893954088
ABCA8;C1orf168;248;0;26;18;8;1;89;3;29;42.502;16.556;6.21898989890547E-10;0.0444924253436988
MAGI3;KIF20A;338;4;23;2;6;1;44;4;0;41.959;2.499;6.21898989890547E-10;0.0464807397574621
ZRANB3;ARMC2;229;1;22;3;6;2;135;1;23;41.698;17.384;6.21898989890547E-10;0.076976011078691
TAF1;MAP4K4;361;11;4;12;11;0;23;0;0;41.838;0.237;6.21898989890547E-10;0.0940682333257356
TSC22D1;ABCB4;227;3;98;2;7;4;56;2;23;41.633;23.661;6.21898989890547E-10;0.0948904871281453
DENND4A;HPX;355;0;19;12;6;0;23;0;7;41.611;1.931;6.21898989890547E-10;0.104809379280805
ALOX5;USP7;374;9;1;7;8;0;18;5;0;42.681;0.046;6.21898989890547E-10;0.11502630319623
NEK3;USP53;158;0;197;2;5;2;27;0;31;41.974;32.019;6.21898989890547E-10;0.128816784458759
LRFN2;SLC4A5;237;6;61;9;9;6;75;0;19;41.69;19.184;6.21898989890547E-10;0.130973653477153
CDKL5;JAKMIP1;354;14;3;3;9;0;36;1;2;42.276;0.481;6.21898989890547E-10;0.134417180164637
CATSPERE;ST18;320;8;13;6;9;0;54;2;10;41.699;3.708;6.21898989890547E-10;0.184553733800842
CAD;FLT1;340;10;19;11;11;0;30;1;0;42.668;1.465;6.21898989890547E-10;0.196953051181036
RABGAP1L;MYH10;338;7;22;8;9;0;34;3;1;42.106;2.038;6.21898989890547E-10;0.201908528067133
ST18;LPIN3;195;4;181;1;7;11;10;0;13;42.603;11.183;6.21898989890547E-10;0.249909710691465
ESCO2;ITPR2;255;11;56;0;7;1;68;3;21;41.868;17.132;6.21898989890547E-10;0.251198513473079
SULF1;KMT2E;323;5;59;9;9;4;12;0;1;41.621;1.975;6.21898989890547E-10;0.270641879784197
CSPP1;C1orf168;300;4;34;4;7;1;51;0;21;42.356;9.754;6.21898989890547E-10;0.270702945151061
MBD5;RBM44;349;3;34;12;8;0;16;0;0;42.011;1.363;6.21898989890547E-10;0.332801399276247
CHD8;MYH7;327;17;18;17;15;3;20;4;1;41.559;1.09;6.21898989890547E-10;0.360985005287674
DDX4;SLC26A7;278;4;26;1;6;0;92;1;14;42.376;10.341;6.21898989890547E-10;0.369549630498639
COL7A1;ABCC1;200;10;53;12;14;3;98;6;26;42.649;25.984;6.21898989890547E-10;0.382032360426638
RBBP8;AP4B1;154;2;231;7;5;0;8;1;14;42.437;13.243;6.21898989890547E-10;0.397494768411794
ZNF256;CFAP45;307;6;83;5;8;1;9;0;3;41.674;2.567;6.21898989890547E-10;0.398665369182939
SEL1L3;ENC1;354;11;2;4;9;0;41;1;0;42.667;0.207;6.21898989890547E-10;0.402884381966184
CCDC73;ANKRD17;365;7;6;8;9;0;24;2;1;41.588;0.442;6.21898989890547E-10;0.411672053020779
MBD5;HDAC9;366;14;6;9;11;0;16;0;0;42.191;0.247;6.21898989890547E-10;0.414961481399296
ACSM1;RBM44;340;4;23;4;7;1;33;0;10;42.22;3.495;6.21898989890547E-10;0.421093828716815
MMRN1;ADD2;291;11;19;3;8;0;76;1;13;41.791;7.138;6.21898989890547E-10;0.425356965839638
NCOA6;DOCK2;309;25;21;10;13;1;35;0;8;41.496;3.343;6.21898989890547E-10;0.447661319263954
SLC24A2;MPP5;349;0;42;12;6;0;13;0;0;42.633;1.351;6.21898989890547E-10;0.458354000501967
AGL;ALOX5;205;1;11;8;8;0;171;6;12;42.366;10.549;6.21898989890547E-10;0.464989787546815
ATP8A2;DOCK11;285;10;48;10;12;4;42;2;9;42.542;7.57;6.21898989890547E-10;0.474052400982062
KMT2E;IFT122;258;1;85;5;6;3;45;5;14;41.841;14.53;6.21898989890547E-10;0.47503286342329
SPTBN1;SLC4A5;279;5;77;22;10;1;20;0;8;41.916;6.198;6.21898989890547E-10;0.500100355860041
EML6;UGT1A9;357;1;12;17;8;1;26;0;0;41.442;0.79;6.21898989890547E-10;0.509375122879844
STRBP;ARHGEF4;279;3;118;1;6;2;11;0;2;42.048;3.805;6.21898989890547E-10;0.51103914880122
POSTN;IKZF2;323;3;9;12;8;2;63;0;2;42.15;1.801;6.21898989890547E-10;0.516850710108629
RBL2;ITPR2;169;3;49;5;8;0;149;10;29;41.921;35.061;6.21898989890547E-10;0.526163372315352
GNPTAB;HCFC2;358;5;11;4;7;1;33;0;3;41.674;1.244;6.21898989890547E-10;0.535760511026569
ZNF99;KIAA2026;143;2;53;0;6;2;148;10;58;41.569;56.881;6.21898989890547E-10;0.547873381413659
RABGAP1L;RFC1;344;8;15;7;9;1;31;0;7;42.501;2.106;6.21898989890547E-10;0.564285447802386
DAAM1;KMT2E;327;8;58;1;6;5;16;0;1;41.889;2.495;6.21898989890547E-10;0.583413035812849
MTMR12;ST18;346;9;20;3;8;0;31;2;3;42.051;1.955;6.21898989890547E-10;0.608753934640276
RFC1;FLT1;352;11;19;7;10;0;22;1;0;42.507;1.064;6.21898989890547E-10;0.609772407833515
ZNF521;FAM13C;369;3;10;16;9;0;14;0;1;42.258;0.419;6.21898989890547E-10;0.65732541100545
GTF3C3;GREB1L;312;12;10;3;9;0;66;6;4;42.037;2.5;6.21898989890547E-10;0.661354407433738
HHIP;NALCN;324;32;28;5;13;0;19;1;0;41.977;1.434;6.21898989890547E-10;0.682582911048059
ZNF431;ZFP30;279;3;12;7;7;0;111;0;3;42.246;4.222;6.21898989890547E-10;0.687662523133966
CPD;ZIM2;345;8;34;4;8;2;17;0;4;41.602;1.995;6.21898989890547E-10;0.695263222756996
CTTNBP2;USP7;326;9;1;16;12;0;57;1;0;41.628;0.148;6.21898989890547E-10;0.709879360253896
CCDC73;RBBP8;351;4;23;9;8;0;27;0;0;42.294;1.549;6.21898989890547E-10;0.724230445298031
ZRANB3;ZNF546;231;2;19;4;7;0;109;7;43;42.277;23.443;6.21898989890547E-10;0.74583553814962
ARID5B;ARHGAP19;365;0;32;12;6;0;7;0;0;41.989;0.554;6.21898989890547E-10;0.748562299706617
SAMD9;FILIP1;205;9;31;12;12;0;124;7;22;42.275;20.257;6.21898989890547E-10;0.753495547502504
SULF1;RIMBP2;316;26;45;9;13;0;11;0;2;42.022;1.634;6.21898989890547E-10;0.764000006957655
GREB1L;ALOX5;358;5;18;15;10;2;11;0;3;41.683;0.754;6.21898989890547E-10;0.768061482290777
ERCC4;FAM161A;99;0;196;0;5;6;48;1;67;41.576;73.768;6.21898989890547E-10;0.772563841459882
