#GENE1;GENE2;ww;ws;wb;sw;ss;sb;bw;bs;bb;chi2;x*;epistatic-pvalue;sa-pvalue
PGR;PLEKHG3;228;0;64;3;3;0;75;2;30;27.298;24.861;5.87342627427834E-07;0.661575426188027
ARHGAP22;KMT2B;111;0;247;1;2;0;8;2;34;27.229;29.505;5.87342627427834E-07;0.808659044194341
HEPH;AFF2;343;9;4;11;7;1;27;3;0;27.125;0.289;6.20861532235648E-07;0.271912391336521
SERPINB2;FGB;154;0;84;2;3;0;116;2;44;27.147;51.457;6.20861532235648E-07;1
WASF3;NLRP2;117;0;267;1;3;2;4;0;11;27.104;10.451;6.20861532235648E-07;1
PSKH2;FAM171B;108;4;75;3;3;0;116;0;96;27.086;91.777;6.62760163245416E-07;0.685940445548031
GPC4;SEMA5A;217;6;13;0;3;1;157;1;7;27.076;8.325;6.62760163245416E-07;1
LAMB4;OTC;181;0;92;7;3;0;76;1;45;27.001;42.074;6.62760163245416E-07;1
TRIM58;BNC1;162;7;3;2;0;4;221;3;3;26.989;3.455;6.9856444792649E-07;0.201788376569388
NLRP4;SCN2A;101;9;17;2;3;0;232;2;39;26.973;39.013;6.9856444792649E-07;0.301742975852474
UBR5;GDA;356;0;23;11;4;1;7;0;3;26.954;0.668;6.9856444792649E-07;0.460383530674828
KCNA4;MAP3K19;269;3;113;8;5;1;5;0;1;26.982;1.763;6.9856444792649E-07;0.791984255623579
DHRS2;KLHL1;339;12;9;1;0;1;31;11;1;26.955;0.842;6.9856444792649E-07;1
RPL3L;CCNB3;321;3;5;1;2;1;60;7;5;26.989;1.662;6.9856444792649E-07;1
COL19A1;RIMS2;256;15;22;15;11;1;73;4;8;26.838;6.769;7.31702456088761E-07;0.59010923760057
RAB40A;HEPH;233;17;17;0;2;0;123;0;13;26.822;10.57;7.31702456088761E-07;1
SLC4A1;FAHD2B;277;0;42;4;3;0;73;0;6;26.871;9.528;7.31702456088761E-07;1
SPAG17;TRPC4;81;5;6;1;4;0;281;5;22;26.899;21.754;7.31702456088761E-07;1
TCF20;GRM7;104;6;120;3;3;0;83;0;86;26.834;88.585;7.31702456088761E-07;1
